"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"1.cmp1185","R94","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1186","R95","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1187","R96","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1188","R97","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1189","R98","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1190","R99","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1191","R100","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1192","R101","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1193","R102","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1194","R103","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1195","R104","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1196","R105","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1197","R106","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1198","R107","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1199","R108","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1200","R109","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1201","R110","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
